,city,country,lat,lng,max temp,humidity,cloudiness,wind,description
321,,,-82.91530937024825,23.758186611371286,242.03,87,32,3.97,scattered clouds
322,,,14.536858217897816,-77.75066787793521,300.9,76,0,9.31,clear sky
323,,,-51.63213535852623,62.140476258463735,277.21,81,73,18.11,broken clouds
324,,,-45.53631454306109,-39.37761427947076,284.26,95,100,6.05,overcast clouds
325,,,3.646876343585717,-17.110581148052106,299.64,82,52,4.97,light rain
326,,,48.58795973617734,-48.689591770683705,278.94,97,100,14.6,light rain
327,Senegal,SN,14.597404996241025,-13.654651742719253,298.67,11,53,3.47,broken clouds
328,,,-82.7375820125788,-11.960887421695887,245.28,100,14,2.64,few clouds
329,,,-81.18689181478999,-15.94441169818839,249.66,97,8,3.91,clear sky
330,,,86.66598707064924,73.6397771525786,247.55,96,100,1.24,overcast clouds
